"location_name","meal_type","item_name","dietary_traits","serving_size","calories","total_fat","saturated_fat","trans_fat","cholesterol","sodium","total_carbohydrate","dietary_fiber","total_sugars","protein","calcium","iron","potassium"
"Four Lakes Market","lunch","Sweet & Spicy Orange Chicken","wheat, soy, sesame","1 4 oz","206","9g","1.7g","0g","30mg","505mg","25g","0g","13g","6g","8mg","0.4mg","124mg"
"Four Lakes Market","lunch","Appetizer - Fried Pork Potstickers","wheat, soy, sesame","2 each","113","7g","1.6g","0g","7mg","177mg","10g","0g","0g","3g","14mg","0.3mg","57mg"
"Four Lakes Market","lunch","Vegetable Fried Potstickers","wheat, soy, sesame","3 each","247","17g","2g","0g","0mg","194mg","18g","1g","2g","4g","27mg","0.8mg","52mg"
"Four Lakes Market","lunch","Steamed Baby Spinach","","1 4 oz","28","0.5g","0.1g","0g","0mg","96mg","4g","3g","1g","3g","121mg","3.3mg","680mg"
"Four Lakes Market","lunch","Fried White Rice (Veg)","soy, sesame, corn","1 4 oz","155","4.6g","0.4g","0g","0mg","148mg","25g","2g","2g","3g","18mg","0.5mg","94mg"
"Four Lakes Market","lunch","Oyster Sauce Glazed Vegetables","soy, sesame, corn","1 4 oz","55","1.3g","0.2g","0g","0mg","290mg","8g","2g","3g","2g","44mg","0.5mg","271mg"
"Four Lakes Market","lunch","White Basmati Rice","","1 4 oz","148","0.3g","0.1g","0g","0mg","1mg","32g","1g","0g","3g","11mg","0.2mg","40mg"
"Four Lakes Market","lunch","Fired Up Condiment","corn","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Four Lakes Market","lunch","Beyond Burger (VN)","wheat, soy, coconut","1 each","372","17g","5g","0g","0mg","663mg","33g","4g","3g","26g","141mg","5.1mg","426mg"
"Four Lakes Market","lunch","Grilled Turkey Bacon Club Sandwich","dairy, wheat, soy","1 0.5","317","13g","4.5g","0g","42mg","1067mg","37g","2g","1g","17g","113mg","2.1mg","189mg"
"Four Lakes Market","lunch","Potato Rounds","soy, corn","1 serving  3 oz","237","16g","2.3g","0g","0mg","438mg","22g","1g","0g","2g","10.2mg","0.6mg","310mg"
"Four Lakes Market","lunch","Buona Cucina Condiment","dairy, corn","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Four Lakes Market","lunch","Italian Roasted Normandy Vegetables","","1 4 oz","46","2g","0.3g","0g","0mg","667mg","6g","2g","2g","1g","30mg","0mg","238mg"
"Four Lakes Market","lunch","Rotini","wheat","1 serving  5 oz","228","3g","0.1g","0g","0mg","537mg","41g","2g","2g","7g","0mg","1.8mg","0mg"
"Four Lakes Market","lunch","Whole Grain Rotini","wheat","1 serving  5 oz","307","5g","0.2g","0g","0mg","912mg","61g","1g","0g","6g","0mg","0mg","0mg"
"Four Lakes Market","lunch","Gluten Free Rotini (VN)","corn","1 aycte","222","1.2g","0g","0g","0mg","1871mg","51g","2g","0g","5g","0mg","0mg","90mg"
"Four Lakes Market","lunch","Cheese Tortellini","dairy, egg, wheat","1 serving  4 oz","245","7g","3.3g","0g","21mg","394mg","38g","3g","1g","10g","85.7mg","1.1mg","0mg"
"Four Lakes Market","lunch","Vegan Chorizo Crumbles","soy, corn","1 aycte","106","8g","1g","0g","0mg","404mg","6g","5g","0g","9g","67mg","1.9mg","279mg"
"Four Lakes Market","lunch","Italian Pork Sausage","corn","1 2 oz","202","17g","6g","0g","35mg","405mg","2g","0g","1g","9g","0mg","0.4mg","0mg"
"Four Lakes Market","lunch","Homestyle Marinara Sauce","corn","1 3 oz","42","1.2g","0.2g","0g","0mg","269mg","7g","2g","4g","1g","21mg","0.7mg","350mg"
"Four Lakes Market","lunch","Pesto Alfredo Sauce (no pine nuts)","dairy, corn","1 3 oz","170","14g","8g","0.1g","44mg","271mg","5g","0g","3g","4g","128mg","0.2mg","117mg"
"Four Lakes Market","lunch","Homemade Alfredo Sauce","dairy, corn","1 3 oz","159","13g","8g","0.1g","50mg","245mg","6g","0g","3g","4g","129mg","0mg","119mg"
"Four Lakes Market","lunch","BYO - MTO Breakfast Sandwich - Four Lake","dairy, egg, wheat","1 customer","183","12g","4.9g","0g","57mg","394mg","9g","1g","1g","10g","107mg","1mg","53mg"
