"location_name","meal_type","item_name","dietary_traits","serving_size","calories","total_fat","saturated_fat","trans_fat","cholesterol","sodium","total_carbohydrate","dietary_fiber","total_sugars","protein","calcium","iron","potassium"
"Four Lakes Market","dinner","BYO - MTO Breakfast Sandwich - Four Lake","dairy, egg, wheat","1 customer","183","12g","4.9g","0g","57mg","394mg","9g","1g","1g","10g","107mg","1mg","53mg"
"Four Lakes Market","dinner","Tuna Salad","egg, soy, fish","1 serving","204","17g","2.2g","0g","23mg","296mg","2g","0g","2g","11g","8mg","0.6mg","41mg"
"Four Lakes Market","dinner","Tortilla - Whole Wheat (12"") (VN)","wheat, corn","1 1 each","307","9g","4g","0g","0mg","456mg","49g","6g","4g","7g","126mg","2mg","104mg"
"Four Lakes Market","dinner","Flour Tortilla","wheat, corn","1 1 each","521","16g","8g","0g","0mg","1042mg","89g","3g","3g","16g","219mg","5.2mg","135mg"
"Four Lakes Market","dinner","Oven Roasted Turkey","corn","1 slice","17","0.2g","0g","0g","8mg","219mg","0g","0g","0g","4g","0mg","0.1mg","64mg"
"Four Lakes Market","dinner","Roast Beef","corn","1 slice","13","0.5g","0.3g","0g","6mg","106mg","0g","0g","0g","2g","0mg","0.3mg","0mg"
"Four Lakes Market","dinner","Smoked Ham","corn","1 slice","15","0.5g","0.3g","0g","6mg","170mg","1g","0g","1g","2g","0mg","0mg","23mg"
"Four Lakes Market","dinner","Oven Roasted Tofurky Deli Slices","wheat, soy, corn","1 slice","20","0.7g","0g","0g","0mg","70mg","1g","0g","0g","3g","8mg","0.2mg","56mg"
"Four Lakes Market","dinner","Bacon","","1 slice","51","4.5g","1.6g","0g","13mg","160mg","0g","0g","0g","3g","0mg","0mg","0mg"
"Four Lakes Market","dinner","Pork & Beef Hard Salami","corn","1 slice","30","2.5g","1g","0g","6mg","121mg","0g","0g","0g","1g","0mg","0.1mg","0mg"
"Four Lakes Market","dinner","Tortilla - Spinach Herb (12"") (VN)","wheat, soy, corn","1 1 each","287","6g","2.3g","0g","0mg","593mg","48g","2g","0g","7g","222mg","3.3mg","0mg"
"Four Lakes Market","dinner","French Hearth Roll","wheat, soy, corn","1 1 each","167","1.5g","0g","0g","0mg","393mg","31g","1g","1g","7g","49mg","2mg","88mg"
"Four Lakes Market","dinner","Croissant","dairy, egg, wheat","1 1 each","150","7g","4g","0g","20mg","150mg","19g","1g","2g","3g","0mg","1mg","0mg"
"Four Lakes Market","dinner","Multigrain Bread","wheat, soy, corn","1 2 slice","200","2g","0g","0g","0mg","360mg","42g","4g","4g","6g","20mg","2.4mg","140mg"
"Four Lakes Market","dinner","Gluten Free White Bread","corn","1 2 slice","169","4g","0g","0g","0mg","269mg","36g","4g","5g","1g","14mg","0mg","31mg"
"Four Lakes Market","dinner","Gluten Free Multigrain Bread","corn","1 2 slice","169","3.5g","0g","0g","0mg","249mg","35g","4g","5g","1g","18mg","1mg","33mg"
"Four Lakes Market","dinner","Ruffle Potato Chips","corn","1 0.25 cup","324","20g","3g","0g","0mg","304mg","30g","2g","2g","4g","16mg","2mg","709mg"
"Four Lakes Market","dinner","Homemade Hummus","sesame","1 Tbsp","30","2.4g","0.3g","0g","0mg","63mg","2g","1g","0g","1g","4mg","0.2mg","15mg"
"Four Lakes Market","dinner","Pepper Jack Cheese","dairy","1 1 slice","75","6g","3g","0g","19mg","120mg","0g","0g","0g","5g","147mg","0.1mg","0mg"
"Four Lakes Market","dinner","Provolone Cheese","dairy","1 1 slice","50","5g","3g","0g","10mg","135mg","0g","0g","0g","4g","0mg","0mg","0mg"
"Four Lakes Market","dinner","Cheddar Cheese","dairy","1 1 slice","82","7g","3.8g","0g","22mg","135mg","0g","0g","0g","5g","149mg","0.1mg","0mg"
"Four Lakes Market","dinner","Vegan Smoked Gouda","coconut, corn","1 1 slice","60","4.5g","4g","0g","0mg","180mg","4g","0g","0g","0g","0mg","0mg","0mg"
"Four Lakes Market","dinner","Spinach","","1 0.5 cup","13","0.2g","0g","0g","0mg","45mg","2g","1g","0g","2g","56mg","1.5mg","316mg"
"Four Lakes Market","dinner","Sliced Tomato","","1 1 slice","3","0g","0g","0g","0mg","1mg","1g","0g","1g","0g","2mg","0.1mg","45mg"
"Four Lakes Market","dinner","Pickle Chips","corn","1 0.25 cup","0","0g","0g","0g","0mg","648mg","0g","0g","0g","0g","0mg","0mg","0mg"
"Four Lakes Market","dinner","Banana Peppers","corn","1 Tbsp","1","0g","0g","0g","0mg","81mg","0g","0g","0g","0g","0mg","0mg","0mg"
"Four Lakes Market","dinner","Sliced Red Onion","","1 0.25 cup","9","0g","0g","0g","0mg","1mg","2g","0g","1g","0g","5mg","0mg","31mg"
"Four Lakes Market","dinner","Iceberg Lettuce","","1 0.25 cup","8","0.1g","0g","0g","0mg","6mg","2g","1g","1g","1g","10mg","0.2mg","80mg"
"Four Lakes Market","dinner","Avocado","","1 0.125 cup","57","6g","0.9g","0g","0mg","0mg","2g","2g","0g","1g","6mg","0.6mg","213mg"
"Four Lakes Market","dinner","Chipotle Mayonnaise","dairy, egg, soy","1 Tbsp","56","4.1g","1g","0g","3mg","121mg","4g","0g","3g","0g","0mg","0mg","0mg"
"Four Lakes Market","dinner","Dijon Mustard","corn","1 Tbsp","30","0g","0g","0g","0mg","720mg","8g","0g","0g","0g","0mg","0mg","0mg"
"Four Lakes Market","dinner","Heinz Yellow Mustard 14 oz","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Four Lakes Market","dinner","Mayonnaise","egg, soy, corn","1 Tbsp","101","11g","1.5g","0g","10mg","96mg","0g","0g","0g","0g","0mg","0mg","0mg"
"Four Lakes Market","dinner","Pesto Mayonnaise (pine nut free)","dairy, egg, soy","1 Tbsp","92","10g","1.3g","0g","9mg","95mg","0g","0g","0g","0g","3mg","0mg","2mg"
"Four Lakes Market","dinner","Fired Up Condiment","corn","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Four Lakes Market","dinner","Crispy Chicken Sandwich","wheat, soy, sesame","1 serving","454","17g","2.6g","0g","49mg","1265mg","51g","2g","5g","23g","49mg","3.9mg","321mg"
"Four Lakes Market","dinner","Beyond Burger (VN)","wheat, soy, coconut","1 each","372","17g","5g","0g","0mg","663mg","33g","4g","3g","26g","141mg","5.1mg","426mg"
"Four Lakes Market","dinner","Straight Cut Fries","soy, corn","1 serving  3 oz","161","9g","1.4g","0g","0mg","286mg","20g","1g","0g","1g","0mg","0.4mg","200mg"
"Four Lakes Market","dinner","Buona Cucina Condiment","dairy, corn","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Four Lakes Market","dinner","Italian Roasted Normandy Vegetables","","1 4 oz","46","2g","0.3g","0g","0mg","667mg","6g","2g","2g","1g","30mg","0mg","238mg"
"Four Lakes Market","dinner","Rotini","wheat","1 serving  5 oz","228","3g","0.1g","0g","0mg","537mg","41g","2g","2g","7g","0mg","1.8mg","0mg"
"Four Lakes Market","dinner","Whole Grain Rotini","wheat","1 serving  6 oz","368","7g","0.6g","0g","0mg","1090mg","73g","2g","N/A","7g","0mg","0mg","0mg"
"Four Lakes Market","dinner","Gluten Free Rotini (VN)","corn","1 aycte","222","1.2g","0g","0g","0mg","1871mg","51g","2g","0g","5g","0mg","0mg","90mg"
"Four Lakes Market","dinner","Cheese Stuffed Shells w/Sauce","dairy, egg, wheat","1 8 oz","336","14g","7g","0g","108mg","879mg","36g","3g","5g","16g","242mg","2.9mg","521mg"
"Four Lakes Market","dinner","Sun Dried Tomato Alfredo Sauce","dairy, corn","1 3 oz","162","10g","7g","0.1g","38mg","409mg","12g","4g","6g","3g","100mg","0mg","93mg"
"Four Lakes Market","dinner","Vegan Chorizo Crumbles","soy, corn","1 aycte","106","8g","1g","0g","0mg","404mg","6g","5g","0g","9g","67mg","1.9mg","279mg"
"Four Lakes Market","dinner","Italian Pork Sausage","corn","1 2 oz","202","17g","6g","0g","35mg","405mg","2g","0g","1g","9g","0mg","0.4mg","0mg"
"Four Lakes Market","dinner","Homestyle Marinara Sauce","corn","1 3 oz","42","1.2g","0.2g","0g","0mg","269mg","7g","2g","4g","1g","21mg","0.7mg","350mg"
"Four Lakes Market","dinner","Homemade Alfredo Sauce","dairy, corn","1 3 oz","159","13g","8g","0.1g","50mg","245mg","6g","0g","3g","4g","129mg","0mg","119mg"
"Four Lakes Market","dinner","Smoked Pork Loin","corn","1 4 oz","181","6g","2.4g","0g","33mg","1104mg","22g","0g","19g","13g","4mg","0.6mg","297mg"
"Four Lakes Market","dinner","Seitan & Coconut Thai Curry","wheat, soy, sesame","1 11.5 oz","750","40g","16g","0g","0mg","712mg","74g","4g","5g","21g","46mg","5.1mg","601mg"
"Four Lakes Market","dinner","Irish Roast Chicken w/Leeks and Bacon","dairy, corn","1 8 oz","500","40g","17g","0g","174mg","851mg","4g","0g","1g","31g","9mg","0.6mg","150mg"
"Four Lakes Market","dinner","Corn","corn","1 4 oz","125","0.6g","0g","0g","0mg","0mg","26g","3g","4g","4g","2mg","0.5mg","242mg"
"Four Lakes Market","dinner","Asparagus Tips","","1 4 oz","33","0g","0g","0g","0mg","0mg","1g","3g","1g","1g","0mg","0mg","0mg"
"Four Lakes Market","dinner","Brown Basmati Rice","","1 4 oz","140","1.1g","0.3g","0g","0mg","5mg","29g","2g","0g","3g","3mg","0.6mg","98mg"
"Four Lakes Market","dinner","Sweet Potato Baked","","1 each","152","0.2g","0g","0g","0mg","12mg","36g","5g","1g","2g","22mg","0.7mg","1053mg"
"Four Lakes Market","dinner","Dal Nirvana","coconut, corn","1 4 oz","119","8g","4.7g","0g","0mg","149mg","9g","3g","1g","3g","10mg","1.3mg","287mg"
"Four Lakes Market","dinner","Samosas","wheat, soy, corn","1 4 each","252","15g","1.6g","0g","1mg","397mg","25g","2g","2g","4g","22mg","0.7mg","136mg"
"Four Lakes Market","dinner","White Basmati Rice","","1 4 oz","148","0.3g","0.1g","0g","0mg","1mg","32g","1g","0g","3g","11mg","0.2mg","40mg"
"Four Lakes Market","dinner","Chicken Curry","wheat, coconut, corn","1 4 oz","155","11g","4.4g","0g","35mg","209mg","11g","1g","5g","8g","8mg","0.6mg","158mg"
"Four Lakes Market","dinner","Curry Potatoes","","1 4 oz","117","5g","0.4g","0g","0mg","300mg","16g","2g","2g","2g","13mg","0.7mg","424mg"
"Four Lakes Market","dinner","Build Your Own Thali Station","","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A"
"Four Lakes Market","dinner","Station Recipe - Great Greens - FLM","dairy, egg, wheat","1 customer'","19","1.1g","0.3g","0g","5mg","49mg","1g","0g","0g","1g","4mg","0.1mg","20mg"
"Four Lakes Market","dinner","Tofu","soy","3 oz","90","4g","0g","0g","0mg","40mg","3g","1g","0g","8g","0mg","0mg","0mg"
"Four Lakes Market","dinner","Bulgar Wheat","wheat","2 oz","24","0.1g","0g","0g","0mg","2mg","5g","1g","0g","1g","4mg","0.3mg","20mg"
"Four Lakes Market","dinner","Black Beans","","1 4 oz","105","0.4g","0g","0g","0mg","396mg","20g","5g","1g","6g","52.5mg","1.6mg","0mg"
"Four Lakes Market","dinner","Dinner Roll","wheat, sesame","1 each1.9 oz","185","3.9g","0.8g","0g","2mg","278mg","31g","1g","3g","6g","106mg","2.2mg","83mg"
"Four Lakes Market","dinner","Chicken Noodle Soup","egg, wheat, corn","1 cup  12 oz","191","4.2g","0.4g","0g","61mg","1291mg","25g","2g","4g","13g","48mg","1.4mg","132mg"
"Four Lakes Market","dinner","Chipotle Sweet Potato Soup","sesame","1 serving","174","7g","1.2g","0g","0mg","683mg","25g","4g","9g","2g","49mg","1.2mg","270mg"
"Four Lakes Market","dinner","Watermelon Slices","","1 slice","34","0.2g","0g","0g","0mg","1mg","9g","1g","7g","1g","8mg","0.3mg","127mg"
